,NodeID,PageRank
4585,486980,0.006930524586313295
2278,285814,0.004733069216196216
1563,226374,0.0033883075400896645
767,163075,0.003338783826542364
5418,555924,0.0026954804323627477
2697,32163,0.0023854553351329664
8679,828963,0.002198914168933314
4788,504140,0.002144834516049443
3537,396321,0.0021183172462856184
5924,599130,0.002111039271282268
8783,83679,0.0020911761458768403
8386,804489,0.002043697312485236
1010,183,0.0019516385137755092
623,151110,0.0018353602633003707
3847,41909,0.0018303518919749284
6220,623787,0.001800045568319507
5901,596972,0.001777292556456719
1811,245186,0.001704760269480864
907,173976,0.0016989272546015814
4294,459074,0.001655100253082183
2804,330762,0.0014433296625164101
3706,407610,0.001439763569460884
3641,402414,0.0014252353813538098
1530,223236,0.0014013809417868879
8536,818382,0.001383309983981901
3410,384666,0.0013586663296083887
1046,185821,0.001347030549236188
882,172133,0.0013421731628336952
2732,324502,0.0013014541814892152
7529,7314,0.0012795250611824815
8005,772466,0.0012747792657089377
3458,38839,0.0012431539585759355
7329,715883,0.0012408301008675993
5208,537039,0.0012257954667653107
5533,566461,0.0012233034435706004
4220,452291,0.001219638990653921
9029,855348,0.0011898127563493431
1649,232639,0.0011691991788629636
1408,213770,0.0011510724544628141
5377,551829,0.0011483950434132452
4397,468736,0.001146470227055191
477,138746,0.0011337275407630033
8905,846221,0.0011259564583063597
5455,558791,0.0011122888715453011
1744,24004,0.0010882490814176
8466,812640,0.0010650409887809718
7120,699754,0.001058655605241778
3592,399699,0.00105807907422531
9603,896264,0.0010417976886560926
4190,448961,0.0010378637936056632
5909,597621,0.0010355943173635967
2990,347085,0.001034568703235876
9127,861477,0.0010330941449366061
185,114894,0.0010329898056067662
4133,443960,0.001028008407728006
8424,808295,0.0010206602712861878
540,144662,0.0010201795322460718
5086,526892,0.001011779313199569
3129,359785,0.001001006241070411
7290,713099,0.001001006241070411
6228,624323,0.001001006241070411
8547,819223,0.0009891966600922995
7404,721816,0.0009789998120555419
6968,687325,0.0009784411700460246
4553,483532,0.0009747380227648599
1119,191990,0.0009681223801862957
3907,424655,0.000942735044883902
6720,666882,0.0009323521574452584
4607,48888,0.000931972279810334
3169,36292,0.0009258388707809994
741,16101,0.00092467323361431
9768,908351,0.0009231220286064026
7772,750938,0.0009085876263667458
